round,n1,n2,n3,n4,n5,n6
1,7,13,15,24,25,40
2,4,14,22,24,26,27
3,4,9,11,32,35,41
4,8,10,17,26,28,32
5,6,14,20,24,34,43
6,14,30,33,34,38,40
7,3,19,23,30,31,32
8,1,3,12,17,22,34
9,4,10,22,29,32,39
10,1,6,9,15,23,37
11,4,10,20,21,26,33
12,5,17,19,34,37,38
13,2,7,14,36,41,44
14,2,27,30,37,39,40
15,2,6,8,9,26,41
16,2,8,16,25,29,32
17,1,3,7,18,20,44
18,8,13,16,33,34,38
19,1,4,7,12,29,40
20,4,13,25,33,35,38
21,1,10,19,29,36,38
22,24,33,36,40,41,43
23,8,9,14,28,35,43
24,11,29,30,32,35,39
25,2,11,18,21,28,38
26,10,24,26,35,36,41
27,2,9,12,24,28,45
28,5,11,24,27,36,40
29,2,10,17,19,32,36
30,15,19,24,33,37,45
31,3,14,15,24,25,30
32,11,15,24,28,33,39
33,12,30,35,38,39,43
34,2,10,18,20,29,37
35,5,21,25,30,32,33
36,3,13,19,28,30,33
37,2,9,18,19,30,35
38,19,29,38,40,42,43
39,12,17,26,31,35,40
40,3,18,27,30,34,35
41,12,13,23,26,32,42
42,5,7,16,20,22,37
43,14,15,18,26,34,38
44,6,7,12,19,21,28
45,6,13,17,27,32,41
46,6,8,17,23,32,34
47,4,9,24,26,32,35
48,11,14,18,29,35,45
49,2,6,11,30,32,33
50,3,18,31,34,35,36
51,3,7,8,27,32,45
52,1,2,18,24,37,40
53,14,16,21,23,26,35
54,1,6,19,26,29,40
55,4,5,7,9,33,39
56,3,9,12,24,42,43
57,7,9,13,16,19,24
58,7,21,28,32,34,37
59,8,13,22,32,35,42
60,7,9,11,16,19,27
